제목,본문
[드루와] 야 근데 나만 예리때문에,나만 이번에 예리 사건 보고조이 웬디 슬기 좋아졌냐ㅋㅋㅋㅋㅋㅋㅋ약간 입덕위기임 ㅋㅋㅋㅋㅋ 개조아난 레드벨벳 그냥 노래만 좋아했었고 지금까지 여돌 파본적 없고 남돌만 팠었는데요즘 판에 예리 인성논란 짤들 보고 유투에서 레드벨벳 좀 찾아보다 보니까 조이 웬디 슬기 너무 좋아짐ㅋㅋㅋㅋㅋ뭔가 되게 귀여우면서도 어른스럽고 밝고 긍정적이고 열심히 노력하게 느껴져서 다 너무 호감임 ㅎㅎ조이 ㅠㅠㅠㅠㅠ 보이는 라디오에서 계속 예리때매 갑분싸된 상황 수습하려 하는게 보이고 생글생글 웃으면서 말도 잘하고 너무너무너무 호감임 얘가 말할때마다 주위가 환해지는 기분 ㅠㅠㅠㅠㅠ예리가 확 다운시킨 분위기 조이가 팡팡 띄우는거같음넘 귀엽고 상큼하고 보기 좋아 퓨ㅠㅠㅠㅠ슬기도 예리 춤이 그렇게 별로인가 보려고 배드보이 무대 영상 돌려보다가 입덕 위기느낌춤 진짜 깔끔하고 멋잇게 잘추더라하 걸크러쉬배드보이 컨셉 진짜 찰떡인거같아 가까이좀와바고갤숙여귀를낮춰봐 이부분 입가리면서 앉는거 진짜 개멋있음게다가 보이는라디오 끝부분에 사진찍을때 갑분띠 대마왕 예리 챙겨주는거 보고 진짜 속 깊다고 생각함웬디는 소오오올직히 말해서 내가 선호하는 상이랑 조금 거리가 있어가지고 별로 신경 안썼었는데 주관적인 생각이니 욕하지 말하주라ㅠㅠ 웬디도 예뻐 이번 논란으로 영상이랑 짤들 보다보니까 ㄹㅇ 너무 착하고 털털하고 그냥 진짜 친하게 지내고싶은 언니같음 ㅠㅠㅠ 대체 예리가 왜 이런 사람에게 적대심을 갖는지 모르겠음짤막한 영상과 짤들만 봐도 댕댕이처럼 착한게 느껴지던데보이는 라디오에서도 예리가 아무리 싸가지없이 굴고 갑분싸 돼도 끝까지 아무렇지 않게 웃으면서 라디오 잘 마무리하고 기분나쁜 티도 안내고 프로다웠음ㅇㅇ게다가 노래도 잘하고 개존멋솔직히 타팬으로서 이런말하면 뭔상관이냐 욕먹을거 같지만 그냥 주관적인 의견으로서 걍 레벨 좀 쉬는게 좋을거같음 내생각에 아이린이 저렇게 된것도 예리 끼고나서 계속 멤버들간에 마찰생기고 아이린이 리더로서 예리 잘 끌고가려해도 예리공주님이 너무 기가 쎄셔서 안되니까 그냥 포기한거같음 나는 아이린도 좀 안쓰러워 ㅠㅠ이번일로  관계자들이 예리의 심각성을 알고 레벨 쉬게 하면서 예리 인성교육좀 시켰으면사실 다 큰 성인이 인성교육 받는다고 바뀌진 않을거같아서 걍 뺐으면 하기도 함 보는 내내 너무 꼴뵈기 싫더라딱 걔만 가리고 보면 레벨 무대도 더 완성도 있어보이고 나머지 넷은 얼추 잘맞고 열심히 추려는게 보임조이도 내가 알기로 덤덤 그쯤에 뚱뚱하다 떡대있다 어쩌고 저쩌고 엄청 까이고 인신공격 당한걸로 아는데 이게 절대 잘한거란뜻은 아님 너무 심했음 얜 거기서 좌절하지 않고 노력해서 다이어트 성공하고 지금도 자기관리 잘 하잖음이건 진짜 멘탈과 인간성의 차이야누가 좀만 싫은소리하면 입 댓발나와서 눈막귀막하는 누구랑 너무 차이나지 않냐예능이나 보이는 라디오에서도 걔만 딱 가리고 보면 그림도 더 좋고 분위기도 살고 넷이 꽁냥꽁냥 투닥투닥 노는게 궁합도 더 잘 맞아보임상큼발랄 음색깡패 조이  뭐든 열심히하는 춤신춤왕 슬기  착하고 노래 잘하는 유학파컨셉 뇌섹녀 언니  미모는 두말하면 입아프고 좀 마이웨이긴 하지만 제 본분은 다 하는 아이린이렇게 넷만해도 딱 그림 너무 좋고 합도 좋은거같음조웬슬 꽁냥거리면서 놀때 아이린은 낄때 끼고 빠질때 빠지면서 중간지키고 절대 기분 안상하게 선 그어가며 활동하면 딱 보기좋고 맞음 넷이 사이도 더 좋아보이고 ㅇㅇ예리는 진짜 없느니만 못하다지금생각하면 레벨 무대도 해피니스때가 딱 보기 좋았음
유난히 하얀 백현 양말의 비밀,백현은 유난히 하얀 양말을 자주 신기도 하고 그 양말이 엄청 깨끗깨끗하기도 함ㅋㅋㅋ맨날 볼 때마다 깨끗해서 팬이 물어봤나바그랬드니 양말 더러워질때마다 새거 산다구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ백현 하얀 양말 컬렉션운동할 때도 하얗고짐쌀땐가 암튼 양말 하얗고진심 개하얘백현이네 댕댕이랑 놀아줄 때도 하얗고개하얌백현이 양말만 유독 하얘볼때마다 때묻지않은 흰양말 신는거 뭔가 킬포임이게 바로 영앤리치 깔끔남의 하얀 양말의 비밀이다처음에 팬들이 백현이 양말만 하도 하얗고 그러니까 혹시 백현이 양말 일회용이냐고 했던거 생각남ㅋㅋㅋ이 귀여운 오렌지 같으니라고말랑말랑이 배쿠 ㄱㅇㅇ취미도 말랑뽀짝이네 
[강아지] 말티즈 꼬미 자랑할게요!!!,우와 베스트가 되었어요 저희 꼬미 이뻐해주시는 분들 덕분이에요 ㅎㅎ너무 팔불출로 보이지는 않을까 걱정했는데다행이게도 많은 분들께서 응원해주셔서 정말 감사드려요그런 의미로 꼬미 사진 조금 더 추가할게요 이쁘게 봐주세요 ㅎㅎ아 그리고 꼬미 증명사진이 배경 색상 별로 여분이 있는데혹여나 갖고싶으신 분은 댓글 남겨주세요 나눠드릴게용 ㅎㅎㅎ네이트판에 전에 올렸었는데 모르고 삭제를해서 다시 올려요 추억이랄까요 많은 분들이 저희집 댕댕이 꼬미보고 이뻐해주시면 좋겠습니다 
이루리 들었으니까 소원 적을래, 내가 사랑하는건 다 행복하고 아프지말고 오래 살기ㄴ우리 댕댕이 올해에도 하나도 안아프고 언니야랑 행복하게 지내게 해주세요 가족들도요 아무 병크 안터지기  변백현 아프지말고 건강하게 군머 잘 다녀오기ㅅㅂ그거믄 됐다 끝 이상 
그때 그 레전드 파파라치 샷들,안젤리나 졸리화보 아님해리포터댕댕이 돌보미로 전직한 거 아님영화 촬영 중에 찍힌 사진스칼렛 요한슨을 앞에 두고핸드폰 하는 자레드 레토예쁜 딸을 바라보는 더 예쁜 엄마모니카 벨루치소중한 핫도그를 안고 가는 토르딸인데 핫도그를 들고 가는 크리스 햄스워스라고 기사 실림레이첼 맥아담스에게 길 물어보는 한국인 관광객들여자친구 수영복 입은 짐캐리리브 타일러 뒤에 찍힌 문소리깨방정 탕웨이싸움 후 분이 풀리지 않는 휴잭맨 강아지브런치 하는 앤해서웨이블레이크 라이블리와 사귈 때로미오와 줄리엣 장면 재연해주는 레오나르도 디카프리오길 가다가 할머니가 강아지 응가를 치우니까대신 치워주는 제니퍼 애니스톤학원 가기 싫어서 떼 쓰는 아들 때문에골치가 아픈 샤를리즈 테론파파라치 발견하고 잡으러 가는나오미 캠벨당시 여친 사진 찍어준다고 무릎 꿇은크리스 파인니콜 키드먼이혼 확정된 날 
[고양이아기] 아기냥이와 힐링하고 가세요,매번 눈으로 보기만 했는데 이렇게 글은 처음 써 봅니다저는 지난 월 냥집사가 되었어요 많은분들이 고양이와 강아지 사진 올리시는것 보고 저도 저희집 냥님 미모 자랑할 겸 사진 올려봅니다 악플은 사양합니다스코티쉬폴드고 이제 개월 되어가네요 이름은 나나랍니다 남편이 지었어요 스코티쉬폴드가 개냥이가 많다던데 나나는 정말 개냥이 중의 개냥이예요 댕댕이 마리 키우다가 고양이는 전부터 너무 키우고싶고 좋아하던차에 올해 큰 마음 먹고 입양하게 되었습니다저희집 냥이 나나 예쁘죠집에 온 첫날 찍은 사진이랍니다 멍한 주인님ㅋㅋ이때만해도 테이블에 못 올라왔었는데 이제는 식탁위에도 올라온답니다 찹살떡은 눈보다 빠르다 ㅋㅋ사진마다 설명을 추가하려다 그냥 쭉 올립니다제가 키워보니 막연하게 생각했던 것보다 더 신경써야할 부분들이 많더라고요 고양이 키우시는 분들 존경합니다이 세상 모든 반려묘와 반려견 그리고 함께 살아가는 주인분들도 모두 행복하시길 바래요
&lt;화양연화&gt; 마지막회 특출 배우,지난 일에 종영한 드라마 화양연화 마지막회에서뜻밖의 카메오로 등장한 배우가 있다는데바로 이 귀여운 강아지 두 마리엇 어디서 본 것 같은 강아지인데했더니역시나배우 이태성이 키우는 반려견 마리였음미우새애 나와서 확실히 눈도장을 찍은 몬드랑 카오이태성이 소파에 앉아서 얘기하는데뒤에서 시선 강탈하는 카오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 이태성이 공 던져 주니까헤딩으로 받아서 다시 이태성에게 준 몬드ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이태성은 본인의 에 자신들의 반려견 드라마 데뷔를 축하해 줌ㅋㅋㅋㅋ최근 이태성은 유튜브 채널도 개설해몬드랑 카오의 일상도 보여주고 있음ㅋㅋㅋㅋ댕댕이들 넘 커여워 ㅠㅜㅠㅜㅠㅜㅠㅜ작고 소중한 뽀짝이들 ㅠㅠㅠㅠ드라마 데뷔 축하해  우리 명배우견들ㅋㅋㅋㅋㅋㅋㅋ 
[강아지] 우리집 딸기뽀시래기 (+반전주의!),새벽에 잠이안와서 우리집 댕댕이 자랑하구가요맨 밑에 반전있음 주의하세요 반전아닐수도 있는건 더주의딸기예요 성은 산 이름은 딸기 산딸기우리집 막내이자 상전을 맡고있습니다우리집 귀여움과 비주얼센터도 담당하고 있어요겨울에 갔던 제주도는 아직도 그리워요언니기지배가 내간식타임놓치고 밥안주면 이렇게 눈치를 주고 째려봐줍니다ㅋㅋㅋㅋ그럼 좀 알아들어요그러다 나갈 기미가 보이면 이젠내차례 자주 만지는 가방에 몰래 들어가봅니다 ㅋㅋㅋ잔디밭이 젤 좋아요 가끔은 갬성댕댕이 놀이잘때도 이쁜 산딸기예요 ㅋㅋ가끔 냉장고문여는걸 방해하고 밀어도 안밀리는 똥꼬집 딸기의 반전은 눈치채신분들도 있겠지만 살이예요ㅋㅋ 아직똥꼬발랄하지만 지금보다 더 건강하게 우리가족과 재밌게 살았음 좋겠어요 이쁘게 봐주세요 감사합니다오늘의판에 올랐다니 이런적 처음이라 기뻐요 딸기덕분에 별일 다겪네요 감사해요 딸기인스타그램이예요ㅋㅋ혹시 댕댕이인스타 하시는분들 맞팔해요이쁘게 봐주셔서 감사합니다
[강아지] 예방접종 너새끼가 제일싫어 앙앙,포메 댕댕이 설기의 주사맞은날 
유기견 키우는 연예인들,성훈임시보호로 만났던 양희를 입양한 후폭풍 확대 시키고 있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이효리많은 사람들이 알고 있듯이 이효리의 반려견은 다 유기견 출신임현아이번에 햇살이라는 유기을 입양한 현아현아는 평소 유기견에 관심 많은 것으로 알려져 있으며유기견 입향 캠페인 화보를 촬영하고수익금 전액을 동물보호단체에 기부하기도 했음로꼬첫 번째 강아지 라떼에 이어 릴로까지유기견을 입양한 로꼬제아한 방송 프로그램에서 울산의 한 유기견 보호소를 방문한 제아는그 곳에서 검정 댕댕이 반달이를 입양함김소혜한 방송프로그램을 통해 임시로 보호하던 유기견 밀크를아버지를 설득해 입양했다고 함조윤희작은 생명이라도 제가 책임질 수 있는 선에서 입양으로 책임지고 있습니다라며사고를 당한 킹콩을 입양다나학대를 받았었는지 경계하고 겁 먹어 있고심장사상충까지 걸린 레이크를 잘 보살피겠다며 입양을 함이연복눈이 안 보이는 아기 유기견 생일이를 데려온 이연복 쉪병원에서 검사한 결과 눈이 안 보이는 건 아니라 했는데그 후 이연복과 꾸준히 병원에 다니며 눈 아픈 걸 완쾌했다고 함 
6년전 냥줍한 고양이가 이렇게 변했어요-3탄,안녕하세요 원래 탄만 쓰려고 했었는데 많이들 읽어주시고 좋아해주셔서 탄까지 쓰게됬네요 ㅋㅋ 요미를 예뻐해주셔서 너무 감사합니당 ㅠㅜ 판을 쓰면서 생각해보니 요미랑 살게된지 년이나 되었는데 생각보다 어렸을때 사진이 많이 없더라구요 ㅠㅜ 특히나 동영상은 정말 몇개 없더라는 ㅠㅜ 많은 집사님들이나 댕댕이 키우시는 분들 아가들 사진 많이 찍어두세요 ㅠㅜ 정말 금방 큰답니다  ㅋㅋㅋㅋ 저도 그동안 부지런하게 찍은 요미 사진 투척합니다 ㅋㅋ가끔 제가 야식을 먹을때면 저렇게 한심하게 쳐다봅니다 ㅋㅋㅋㅋ 맨날 제가 요미한테 뚱냥이 돼냥이라고 놀리는데 대체 누가 돼지라는건지 눈으로 욕하는 것 같아요 ㅋㅋㅋㅋ ㅠㅜ 야 한국인은 밥심이거든 ㅠㅜ쥐돌이나 낚시대로 놀아줄때 보면 진지하게 사냥자세를 취하는데 ㅋㅋㅋㅋ 제가 보기에는 그냥 녹은 인절미 같아옄ㅋㅋㅋㅋㅋㅋ 마지막은 놀려서 미안하니까 얼짱각도 사진으로 마무리 하겠습니다 ㅋㅋ 읽어주셔서 감사해요 다음에 편도 재밌게 써서 올려보겠숨니당 ㅋㅋ 다들 좋은주말 보내시고 시간나시면  인스타에도 놀러오세효 
[프듀X] &lt;김요한 영업글&gt;,어서와살면서 누굴 영업하고 영업당하고 이런거 내 인생엔 절대 없는 일이라 생각했는데 프듀 보기 시작하면서 요한이한테 스며들고 방송 후반에 접어들어서 얘 꼭 데뷔시켜야겠다는 마음 하나로 자판 두드리고 있는 내가 나도 참 신기하네ㅋㅋㅋㅋ아직 요한이가 초면일수도 있으니 먼저 소개부터 할게이름  김요한소속사  위 엔터테인먼트연습생 기간  개월생년월일  년 월 일혈액형  형키  취미  동생들이랑 놀기특기  태권도대째 태권도를 이어오고 있는 집안에서 년째 태권도 선수생활을 하다가 성인이 된 이후 진짜 하고 싶은 아이돌이 되기 위해 프듀에 나왔데아니 어떻게 이 얼굴로 조용히 운동만 하고 살았지 했는데 요한이 지인분들 얘기 들어보니 학교 다닐때부터 인기가 많았더라구ㅎㅎ 이것보다 더 많은 인증글 있는데 내가 저장을 안해뒀네 나중에 찾으면 추가할게연습생 기간이 짧은데 스펀지같은 습득력으로 매 평가마다 평타 이상의 무대를 보여주고 있어 청량갑 노래 시작부터 끝까지 생글생글 웃으면서 이리저리 통통대는 지마 요한이 본인포함할미팬들 향수 불러일으킨 힐리스남 와줘 요한이  눈빛이 다 했네ㅠㅠㅠㅠㅠㅠㅠ 보컬인데 랩도 잘해ㅠㅠㅠㅠ 메인래퍼 보스 요한이 음색킹 너를 만나 요한이방송이 진행될수록 요한이의 평소 성격이 잘 드러나고 있다고 생각하는데 요한이 지인분들이 풀어준 썰들만 봐도 사람 좋아하고 동생 잘 챙기는게 딱 드러남ㅠㅠ아니 근데 현실에 이런 오빠 있어 오빠 있는 친구들 얘기 들어보면 맨날 치고 박고 싸우거나 아님 서로 진짜 노관심이거나ㅋㅋㅋ 아니 진짜 이런 오빠가 있다고내가 요한이한테 치인 가지 이유 중에 하나가 다정하고 따뜻한 성격인데 이렇게 스윗한 오빠라면 나도 오빠 가질래 김요한 동생 그거 나 시켜줘나이차 많이 나는 여동생들이 있어서 그런지 방송에서도 유독 어린 동생들을 귀여워하고 챙기는 형아미 뿜뿜하는 모습이 많이 보이더라근데 또 형아들이랑 있으면 완전 귀요미 댕댕이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정체가 뭔데 김요한ㅋㅋㅋㅋㅋㅋ아 그리고 이건 갑자기 생각나서 쓰는건데 탈락한 연습생이 인증한ㅋㅋㅋㅋㅋㅋ 김요한의 댕청한 인싸적 모먼트ㅋㅋㅋㅋㅋ 첫만남부터 형형 하면서 들이대더니 알고보니 동갑이었대ㅋㅋㅋㅋ 아니 처음 만난 사람한테 어떻게 저러지ㅋㅋㅋ 진심 닮고 싶다 요한이 성격ㅋㅋㅋㅋ소속사에서 혼자 나와서 행여나 못 어울리거나 어색해하면 어떡하지 걱정 많았는데 연습생들이랑 두루두루 다 친하고 그게 방송에서도 잘 드러나는 것 같아서 아주 다행이야ㅋㅋㅋㅋㅋ 프듀는 김요한 친목 더 보여줘라리액션킹 김요한ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 뭘 그렇게 잘 놀라고 잘 웃고 잘 반응하는지ㅋㅋㅋㅋㅋㅋㅋㅋ 모든게 신기하고 재밌는 개월차 새싹 김요한입니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ프듀하면 연습생들 지하철광고가 수식어처럼 따라오는데 요한이 해외 팬분들이랑 국내 팬분들이 정성을 쏟아서 준비한 수많은 광고지하철 카페이벤트 신문 등등 거의 서울 대부분 지역에 광고가 있다해도 무방한데ㅋㅋ 그걸 하나하나 인증해주고 감사한 마음도 잊지 않은 팬사랑 등 요한이도 보구가인증 나갈때마다 팬들이 서포트 넣어준 선물들도 같이 착장에 맞춰서 자연스럽게 감동주는 인증요정이래요한이 팬들은 다 알겠지만 방송 시작부터 지금까지도 차마 내 입으로 언급 조차 할 수 없는 심한 까글에 성희롱 도를 넘은 욕까지아직 살밖에 안된 애가 겪기엔 너무 상처가 될 말들에 나는 정말 화가 나고 못참겠더라근데 멘탈 끝내주는 요한이는 오히려 자기가 더 열심히하면 된다고 늘 씩씩하게 말하는게 오히려 너무너무 마음이 아프면서 또 대견했어ㅠㅠ차 순발식에서 순위 좀 떨어지고 까글 약간 수그러들긴 했지만 첫방부터 말도 많고 탈도 많은 우리 애 너무 미워하지 말고 보이는 그대로 봐주라ㅠㅠ차마 투픽 원픽으로 뽑아달라 부탁하는 것도 조심스럽고 행여 내 이 글이 요한이한테 부정적인 영향을 끼칠까 걱정되는것도 사실이야그냥 아무런 편견 없이 요한이한테 이런 모습도 있었구나 라는 생각을 갖게 되었다면 오늘 나는 목표달성이야ㅎㅎ 혹시 지금 이 글을 읽으며 자기도 모르게 웃음짓고 있진 않니ㅋㅋㅋㅋㅋㅋㅋㅋ명으로 시작해서 이제 명 패자부활전 통해 올라올 명까지 총 명의 연습생들만 남았네서로 응원하는 연습생은 다르지만 내 원픽이 마지막 생방무대에서 최종 데뷔 멤버에 이름 불려지길 원하는건 다들 같은 마음일거라 생각해방송이 끝날 때까지 후회 없이 온 마음을 다해 응원하고 예쁜 눈으로 바라봐주자추가로 요랑단 내에서 유명한 영상들 몇개 가져왔어 요한이한테 조금이라도 스며들기 시작한다면 이 영상들로 입덕할 수 있을거야 목목목 난 눈이야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 유빈형아와의 전설의 사과떨어지지마 피지컬 완벽한 두남자의 환장의 개불파티ㅋㅋㅋ 요한이 과자 좀 먹게 해주세요ㅠㅠㅋㅋㅋㅋ긴 글 읽어줘서 고맙구요한아 너의 꿈이 이뤄지길 온 마음을 다해 바랄게 많이 좋아해 김요한 
