제목,본문
정국이 집중해서 보던 장면의 정체,달려라 방탄 화에서각자 호캉스를 즐기게 된 방탄소년단 멤버들정국은 강철부대를 시청함초집중해서 보는 장면은 바로고기 나오는 장면이날 정국이는 방탄의 먹짱답게스위트룸에서 먹방파티 밀가루파티를 펼쳤고일단 고르곤졸라 피자라면볶이갈비살 짜파구리소고기 치즈버거 감자튀김아모튼 고기 나오는 장면보면서본인도 열심히 먹었다는 훈훈한 이야기아주 행복한 촬영을 했구나 꾸기 
 커플은 진짜 비즈니스 같음, 맨날 광고하고 둘이 꽁냥대는건 거의 없고 뭐 스트리트개그우먼파이트나 러브엔조이 이런거만 하고 먹방이나 몰카만 함
지수가 왜 제니한테 별명,젠득이라 지었는지 알것같은 짤들 
오마이걸 아린 인스타 개조녜다,옴걸 오마이걸 아린
외가 도와 준 엄마가 본인 도와 달래요,엄마가 외가를 도와왔고 그러다 보니 모은 돈은 없고 자식 된 도리 하며 자식들 키우다 보니 힘들었다며 자식들도 나를 좀 도와줬음 좋겠다 합니다 엄마가 외가를 도우느라 힘들었고 그게 싫었으면 어떻게 똑같은걸 자식한테 시킬수 있나요 아빠가 힘들게 벌어온 돈이였어서 외가에 퍼주느라 생활비 아끼고 산 정도라서 크게 안힘들었으니 자식들도 당연히 해줄거라 생각하는걸까요
헐 엔 하이픈 선주문 만 넘었대,미쳤다 
모니카 진짜 꼰대 맞구나,스우파 스페셜에서 본인 발언 설명중인 모니카 당당하게 워스트 댄서 지목했던 웨이비 노제남 행동 탓하면서 내가 그럴수밖에 없었다라고자기포장하고 끝내는사람 이게 전형적인 가스라이팅임사회나가면 꼰대맞고그리고 이유들어보면 이게 이유가 되나싶을정도로 억지인 느낌 
샤넬공홈에 제니  크루엘라 재질임,제니 이번에 샤넬 글로벌 캠페인 광고 모델돼서 공홈에 메인으로 걸어놨나봐  존멋
추가 올케에게 맞았습니다,댓글 읽다가 너무 화나서 더이상 못보겠네요제가 대처법 알고싶댔지 제욕 해달라고 했나요그리고 자꾸 제가 뭘 잘못했을거라고 생각하시는데 전혀 그런거 없구요 그날 저는 평소랑 똑같았다고요근데 그냥 올케 혼자 미쳐서 저런거라고요 갑자기그리고 전국에 있는 올케들 시집살이가 아무리 심하다한들 어떤 정신나간 올케가 시누를 폭행하나요서로 싸우기라도 했으면 제가 글도 안썼겠죠근데 이건 일방적인 폭행이잖아요이게 정상이라고 생각하시면 다들 올케한테 맞고 사세요일단 진지하게 댓글달아준 분 말대로 부모님한테 다 말씀드렸는데 저를 달래시고 오히려 은근 올케편을 드셔서 그냥 저혼자서라도 올케랑 연끊고 살기로 했습니다동생 반응도 지 마누라 편들기 바빠서 앞으로 동생도 안볼거고요지금와서 생각해보니 올케가 여우같은 면은 없는줄 알았는데 여우가 아니라 천년묵은 뱀이였네요아무튼 진지하게 댓글남겨주신 분들 감사합니다집안 식구들은 아무도 모르는 일이고 명절에 다 어수선할 무렵 저랑 올케 둘 사이에만 일어난 일입니다제 남동생은 저와 살 터울이 있고 올케는 저와 동갑이에요저는 아직 시집을 안갔고 동생네는 결혼한지 이제 년찹니다동생이 결혼한다고 올케를 데려왔을때도 올케 눈빛이 사람 잡는 눈빛이고 보통 기가 쎈게 아니라서 저랑 저희 엄마가 많이 반대를 했었어요여자들 육감이 무섭잖아요 여우같은 면모는 없는데 순진하고 참한 외모에 비해 기가센 그런 여자에요그동안 결혼 반대에 앙심을 품고 있었던건지 아니면 명절 스트레스 때문인진 몰라도 갑자기 절 작은방으로 부르더니 느닷없이 한손으로 제 얼굴을 잡고 옷장에 처박더라구요정확히는 제 양 볼을 한손으로 거머쥐고 입을 막는 모양새입니다저는 당연히 아무 방비도 없이 옷장에 그대로 머리를 부딪혀서 아직까지 두통과 목통증 어깨통증에 시달리고 있습니다그러면서 저만 들릴 정도로 작은 목소리로 한다는 말이 야이 아 입 좀 다물어 였습니다저는 올케 손때문에 입이 막혀있어서 아무말도 할수가 없는 상황이였구요솔직히 말하면 그순간 올케가 너무 무서워서 아무 대응도 못했습니다옷장이 부딪히는 소리가 나니까 문 밖에서 저희 엄마와 남동생의 목소리가 들렸어요올케도 느꼈는지 바로 저한테서 몸을 떼고 제 머리를 정돈해주면서 잘하자 한마디만 하고 문 밖으로 나갔습니다저는 너무 소름이 끼치고 다리에 힘이 풀려 그대로 주저앉았습니다올케가 밖에서 뭐라고 얘길 했는지 아무도 작은방으로 들어오지 않아서 저 스스로 추스르고 밖으로 나갈 수밖에 없었어요밖에 나가보니 다들 화기애애한데 제가 갑자기 올케한테 맞았다고 주장하면 저만 이 될 것 같았고 올케가 두려워서 말 못한것도 있습니다어디다 이야기하면 집안 망신이라 주변에 조언도 못 받고 그냥 있자니 억울하고 분해서 잠이 안와요앞으로 올케 얼굴을 어떻게 봐야할지 모르겠어요그리고 제 동생을 이혼남으로 만들더라도 저런 여자랑 한시도 같이 살게 하고싶지 않습니다앞으로 어떻게 대처해야할지 제발 도와주세요
직접 만들어 본 유포리아 필터   블핑 리사로제,안녕 나 또왔음생각보다 괜찮다고 해줘서 놀랐다다들 솔직하게 남겨준 피드백 보고 나도 나름 열심히 연구해서 탄만들어봤어이번엔 좀 다른걸로 만들어 봤는데 이것도 어떤지 감상평 남겨주라저기 들어가서 하면 되는데 이번에도 어떻게 나올지 예시 가져옴이거 보고 리사랑 로제도 어울릴 것 같아서 해봄나 말고도 유포리아 좋아하는 판녀들 많더라 괜히 내적친밀감 생김그리고 마지막회에 방탄 정국 노래 나온다고 댓글에 알려죠서 계속 돌려봄 하 유포리아 시즌도 빨리 나오길 
드라마 유미의 세포들에서 열일하는 세포,바로 이 물방울마냥 애교머리가 있는이성세포 이성이엄청 열일함거의 세포 마을 이장님임세포들 독려해서 유미 두뇌 굴리기혼수상태에 빠진 사랑이 챙기기슬퍼하는 감성이 위로 중새벽에 감성 퍽발해서 유미 잠 못 자게 하는 감성이필요할 땐 이렇게 기절시켜서라도 재움상처 되짚고 있는 상처기록세포재움불안해하는 불안이도 재움추리하면서 유미 못자게 하는 명탐정도 재움유미 사회생활을 위해 표정관리 열일루비가 썸을 방해하자 세포들 소집해서 긴급 회의 진행유미의 성공적인 데이트를 위해수감 중이던 패션이 출소할 때마중도 나가서 두부도 줌유미 썸이 깨지면서 대홍수가 나자표정관리 레버 관리하던 세포들 빨리 피하라고 챙김그러면서 자기마저 가버리면 유미는 울지도 모른다고끝까지 남아서 유미의 자존심을 지켜줄 거라고 함이성이 혼자 두고 갈 수 없어 돌아와서 협동하는 세포 친구들대홍수 이후 고장난 유미의 표정관리 레버 고쳐달라고 하소연 중 
고들 아 나 작년 평 이였는데,수능때  나오고 재수했다 가형 화 지니네 평 성적 확실한 니성적 아니니깐 정신줄 놓지말고 공부해라 나처럼 재수하지말고
돈 주는 남친받아야 하나요,전 다니던 직장을 그만둬서 현재 수입이 없고남친은 일식집을 운영하고 있어요제가 웬만하면 힘든 티를 내지 않으려모은 돈으로 꾸역꾸역 데이트비도 내고 했는데점점 통장 잔고가 위험해서 이번 주년 기념일에선물을 제대로 못해줬어요 처음으로 상황이 힘들어 못샀어 미안하다 티를 냈더니그 이후로 남친이 한번씩 돈을 주더라구요 만원씩 거의 매달 주는데 이걸 받아야 하나요저랑 나이도 비슷한 사람이라 용돈 받는 기분이 이상해요
결혼도 안하고 애도 안 낳고 대학에 다시 가겠다는 교사 딸 뜯어 말리고 싶어요,저희 딸은 올해 세 초등교사입니다자세히 알지는 못하지만 그간 연애도 몇번하고 상대측에서 결혼 제안을 한 연애도 있었으나 딸 아이가 결혼에 대해 워낙 회의적이고 자신은 아이를 낳을 생각도 없다고 못 박아두어헤어진걸로 압니다오해하실까봐 덧붙이자면 저와 남편은 지금도 주말마다 같이 등산 가고 코로나 전에는 휴가때 해외 여행이며 국내 여행 다닐만큼 사이가 좋습니다시가와의 갈등도 전혀 없구요제 딸은 왜 결혼을 해야하는지도 이해가 안간다고 하며 여자 인생에서 애를 낳는건 자살행위나 다름 없다고 생각하는 아이입니다제가 몇번 소개팅 자리나 선자리를 마련해주고 싶어서 슬쩍 떠본적이 있는데 결혼하고 애 낳으면 자아의 종말이고 남자한테 종속된 삶을 살게 될거라고 자신한테 제발 결혼 임신출산육아 애기를 꺼내지도 말랍니다생각만 해도 역겹답니다자기는 일 쉬는 동안육아휴직을 말하는것 같아요 남편한테 돈 받아쓰면서 돈으로 감시 받는 것도 싫고 명절때 남자 집에 먼저 가는 것날 낳아준 부모보다 남자 부모를 먼저 보러가는 것이 너무 굴욕적이고 사위는 백년손님이라면서 며느리는 명절때 못 부려먹어서 안달난 시부모들이 대다수인것도 짜증난다고 합니다그리고 애 키우면서 자아는 없고 애한테 매달려서 사는 엄마들을 너무 많이 봐서 자기는 절대 그렇게 살기 싫답니다아이가 교사이다보니 아이 엄마들을 많이 상대하는데 얘기를 들어보면 자기 자아는 하나도 없고 오로지 애만 케어하는 인생을 사는 분들이 많더랍니다그리고 학교에서 애한테 무슨일이 생기면 순위로 연락하는 것도 엄마라고 왜 애엄마만 아이일에 있어서 전전긍긍하면서 살아야 하는지 이해가 안간답니다이렇게 고생해봤자 어차피 아이 성씨는 남자껄로 붙여주는데 그럼 겨우 남자 집안 대 잇겠다고 저렇게 아둥바둥 살아야 하는 거냐고 결혼도 역겹고 임신출산육아도 혐오스럽답니다애를 낳아서 자기 자아와 가능성을 죽이고 엄마라고 불리는 것도 너무나 싫다네요 참어디서부터 이런 생각을 하게 된건지는 모르겟어요그런 딸이 이제는 다시 대학을 가겠다고 합니다교대에 나와 초등교사라는 여자 직업으로 최고로 쳐주는 직업을 가지고도 굳이 또 직업을 바꾸고 싶답니다수능 공부를 해서 의대 치대 한의대에 도전해보겠다고 합니다아이는 학교 다닐때 공부를 곧잘 잘해 이과 전교 등 안에 들었었고 언제나 제 자랑이었지만 이제는 딸 생각만 하면 속이 답답합니다수능도 잘 기억은 안나지만 등급만 받았어요을 받고 수도권 교대에 입학해 언제나 제 어깨에 힘이 들어가게 하는 아이였는데 어쩌다 이렇게 되었을까요자기 돈으로 공부할거니 간섭하지 말고 어차피 자기 인생에 결혼임신출산육아는 없을테니 에 대학을 가는게 뭐 어떻냡니다딸이 정말 결혼도 안하고 살까 걱정됩니다의대치대한의대면 최소 공부기간이 년에 전문의를 따면 년 정도는 소모되는걸로 압니다나이 먹어서 그런 험한 과정을 밟겠다는 것도 걱정되거니와 결혼도 안하고 아이도 안 낳겠다니 눈앞이 캄캄합니다저는 다른거 다 필요없고 우리 딸이 좋은 남자 만나 결혼해서 예쁜 아기 낳고 살기를 누구보다 간절히 바랍니다딸이 사랑받으면서 행복하게 살길 원해요치열한 사회속에서 굳이 경쟁하면서 사는 것보다 물론 이것도 좋지만요 딸이 행복한 가정이라는 울타리에서 에쁜 아이를 키우며 살았으면 좋겠어요교사면 육아휴직도 잘되어있고 경력이 단절될 일도 없는데 왜 이렇게 부정적인걸까요엄마로서 제 욕심이 너무 과한걸까요 딸을 설득해서는 안될까요참어제는 내년부터 자기 수능 공부할거라고 기본서 몇권을 사오고 인터넷 강의를 지돈으로 끊었네요제 살아온 인생이 너무나도 허탈합니다남편은 걍 냅두라고 자기도 깨닫는게 있으면 알아서 할거라고 둬보자고 합니다저만 전전긍긍인가 싶네요
몰카 걱정 없이 연애하고 싶다,연애하면 솔직히 제일 큰 걱정이 몰카임남친이 찍든 모텔에 누군가 설치를 하든 하몰카걱정 없이 연애하고싶다그런 여자들이 있겠냐만은진짜 몰카찍고 돌려보는 사람들은 즉시 죽어서 지옥으로 가야됨
출산 때 다들 우셨나요,티비보면  다들  출산때 애기 보자마자 울던데  다른분들도 다 우셨나요근데 감동해서 우는건가요  애낳을때 아팠던게 서러워서 우는건가요
너네라면 오징어 게임 한 다 안 한 다 스포,대신 지금 인생 말고 너네가 성기훈 입장임작은 단칸방에서 늙은 엄마랑 둘이 사는데 엄마는 돈이 없어서 입원도 못하는 상황 이혼한 남편이 너보다 돈이 많아서 재혼한 부인하고 네 애를 데리고 미국으로 갈 예정이고 넌 빚이 너무 많아서 일주일 후면 장기매매를 당하기로 계약돼 있음 근데 돈을 벌 방법은 없음오징어 게임을 하면 장기매매고 뭐고 고통 느낄 틈새도 없이 죽거나 억을 벌어서 나올 수 있음오징어게임 후에 나와서 엄마가 죽는 상황은 전혀 모르는 상황이라고 가정했을 때 너네는 오징어게임 할 거임난 장기매매범 무서워서 할 것 같음한다 추안한다 반뷰티 틴트 화장 카리나 스우파 제니  
